Baseline,Comparison,Z_Accuracy,Z_Similarity,Value
Greek,German,1.52,2.88,4.4
Gishu,Runyankore,0.75,3.3,4.05
Runyankore,Gishu,0.7,3.3,4.0
Vietnamese,Turkish,-1.84,-1.56,3.4
Taiwanese,Japanese,1.28,2.05,3.33
Taiwanese,Mandarin,1.33,1.91,3.24
Greek,Russian,0.99,2.19,3.18
Hindi,Taiwanese,-0.98,-2.12,3.1
Greek,Hebrew,1.09,1.91,3.0
German,Taiwanese,-1.55,-1.42,2.97
Taiwanese,Singaporean,1.04,1.91,2.95
Br. Portuguese,Singaporean,-2.08,-0.87,2.95
Vietnamese,German,-1.46,-1.42,2.88
Hebrew,Taiwanese,-1.74,-1.01,2.75
Gujurati,Greek,1.52,1.22,2.74
Mandarin,Hindi,-0.88,-1.84,2.72
German,Mandarin,-2.22,-0.45,2.67
Singaporean,Taiwanese,0.75,1.91,2.66
French,Hebrew,1.23,1.36,2.59
Turkish,Singaporean,-1.17,-1.42,2.59
Greek,Indonesian,1.09,1.49,2.58
Turkish,Vietnamese,-1.02,-1.56,2.58
Gujurati,German,1.04,1.49,2.53
Gujurati,Gishu,0.75,1.77,2.52
Gujurati,Hindi,0.46,2.05,2.51
Greek,French,1.28,1.22,2.5
Greek,Gujurati,1.28,1.22,2.5
French,Greek,1.28,1.22,2.5
French,German,0.99,1.49,2.48
Korean,Hindi,-0.64,-1.84,2.48
Gishu,Gujurati,0.7,1.77,2.47
Runyankore,Gujurati,1.52,0.94,2.46
Cantonese,Greek,-0.06,-2.4,2.46
Br. Portuguese,Indonesian,-0.88,-1.56,2.44
Cantonese,German,-0.59,-1.84,2.43
Turkish,Taiwanese,-1.26,-1.15,2.41
German,Vietnamese,-0.98,-1.42,2.4
Vietnamese,Gujurati,-0.98,-1.42,2.4
Greek,Gishu,1.28,1.08,2.36
Gishu,Greek,1.28,1.08,2.36
Cantonese,Hindi,-0.35,-1.98,2.33
Cantonese,Indonesian,-1.46,-0.87,2.33
Hebrew,Singaporean,-1.7,-0.59,2.29
Taiwanese,Cantonese,1.04,1.22,2.26
Vietnamese,Hindi,-0.69,-1.56,2.25
Hebrew,Cantonese,-1.22,-1.01,2.23
Turkish,Hindi,-1.22,-1.01,2.23
Greek,Spanish,1.28,0.94,2.22
French,Russian,1.28,0.94,2.22
Taiwanese,Runyankore,1.28,0.94,2.22
French,Spanish,1.13,1.08,2.21
Runyankore,Japanese,1.13,1.08,2.21
Indonesian,Greek,0.7,1.49,2.19
German,Korean,-1.74,-0.45,2.19
Turkish,Indonesian,-1.31,-0.87,2.18
Vietnamese,Korean,-1.84,-0.31,2.15
Singaporean,Cantonese,1.33,0.8,2.13
Mandarin,Br. Portuguese,-1.36,-0.73,2.09
Gishu,French,1.13,0.94,2.07
Japanese,Hindi,-0.78,-1.29,2.07
Russian,German,0.27,1.77,2.04
Runyankore,Br. Portuguese,1.23,0.8,2.03
French,Gishu,1.09,0.94,2.03
Korean,Br. Portuguese,-1.7,-0.31,2.01
Mandarin,Spanish,-1.41,-0.59,2.0
Vietnamese,Spanish,-1.55,-0.45,2.0
Hindi,Korean,-0.16,-1.84,2.0
Greek,Turkish,1.33,0.66,1.99
German,Runyankore,-1.12,-0.87,1.99
Gishu,Hebrew,1.04,0.94,1.98
Singaporean,Mandarin,1.04,0.94,1.98
Indonesian,German,1.28,0.66,1.94
Gujurati,Hebrew,0.99,0.94,1.93
Gujurati,French,1.52,0.38,1.9
German,Greek,-0.98,2.88,1.9
Cantonese,Spanish,-1.17,-0.73,1.9
Hindi,Mandarin,-0.06,-1.84,1.9
Taiwanese,Korean,1.09,0.8,1.89
Indonesian,Singaporean,-0.3,2.19,1.89
Hebrew,Greek,-0.02,1.91,1.89
Turkish,Mandarin,-0.88,-1.01,1.89
Korean,Turkish,-0.88,-1.01,1.89
Vietnamese,Russian,-0.88,-1.01,1.89
Spanish,Hindi,-0.88,-1.01,1.89
Gujurati,Runyankore,0.94,0.94,1.88
Cantonese,Turkish,-0.16,-1.7,1.86
Gishu,German,1.28,0.52,1.8
French,Turkish,1.28,0.52,1.8
German,Indonesian,-2.46,0.66,1.8
Vietnamese,Hebrew,-0.78,-1.01,1.79
Turkish,Spanish,-1.6,-0.17,1.77
Hebrew,Indonesian,-1.6,-0.17,1.77
Spanish,Taiwanese,-1.46,-0.31,1.77
Taiwanese,Br. Portuguese,1.52,0.24,1.76
German,Cantonese,0.08,-1.84,1.76
Vietnamese,Greek,0.22,-1.98,1.76
Vietnamese,French,-1.7,-0.03,1.73
German,Br. Portuguese,-1.55,-0.17,1.72
Spanish,Turkish,-1.5,-0.17,1.67
Russian,Vietnamese,-0.64,-1.01,1.65
Singaporean,Gujurati,0.7,0.94,1.64
Hindi,Japanese,-0.35,-1.29,1.64
